Day,Hour,Power
5,0,27.1
5,1,21.6
5,2,23.9
5,3,29.0
5,4,27.5
5,5,16.1
5,6,23.8
5,7,19.4
5,8,19.6
5,9,21.6
5,10,20.6
5,11,25.8
5,12,43.0
5,13,40.5
5,14,41.8
5,15,41.3
5,16,46.0
5,17,39.2
5,18,41.3
5,19,16.6
5,20,9.8
5,21,22.6
5,22,23.5
5,23,17.0
6,0,34.1
6,1,19.2
6,2,25.2
6,3,24.3
6,4,31.1
6,5,30.9
6,6,25.6
6,7,26.5
6,8,21.4
6,9,17.1
6,10,23.6
6,11,25.6
6,12,49.9
6,13,49.8
6,14,43.5
6,15,43.8
6,16,40.8
6,17,39.3
6,18,38.2
6,19,32.8
6,20,23.0
6,21,23.2
6,22,20.0
6,23,28.1
7,0,23.5
7,1,29.1
7,2,26.4
7,3,31.5
7,4,28.0
7,5,25.3
7,6,29.9
7,7,31.7
7,8,30.3
7,9,31.2
7,10,27.5
7,11,28.5
7,12,47.3
7,13,48.6
7,14,46.7
7,15,43.1
7,16,50.7
7,17,48.4
7,18,43.5
7,19,31.9
7,20,26.4
7,21,30.2
7,22,32.9
7,23,30.5
