loc1,loc2,loc3,loc4
337.4835707650562,327.92314628974793,336.78893680174144,350.85502494538963
334.3086784941441,332.8967733861732,337.80392263184115,352.19909479901514
338.23844269050346,333.28642741736616,340.4152562158764,358.7364680256163
342.61514928204014,330.9886136538919,340.2690102601745,358.0518513271673
333.8292331263833,334.19357144167,328.11165316021453,354.89549203017924
333.8293152152541,337.0202542840727,330.31087480042436,355.5866369165439
342.89606407753695,344.4309295060527,337.5751763360433,361.38832447894214
338.83717364576455,335.8728890641592,337.56892975456105,352.0421430558209
332.65262807032525,336.28775195361385,337.57523843153024,357.73548690585017
337.71280021792984,334.62777042116915,354.2636574532736,353.98903673783053
332.6829115359377,325.40614392350477,337.8544525534658,353.9115939838639
332.6713512321487,334.86743062275394,340.677828200903,360.49388425993595
336.2098113578302,335.30115104970514,339.770008817466,359.12708174494014
325.433598776711,347.3162105624264,338.256956256529,359.0675481800032
326.37541083743486,334.0381951760944,333.4236537767983,361.52739403577164
332.18856235379513,336.5077367116681,338.79484610246635,355.1050192081638
329.9358443983279,334.8264411514738,331.13587392731216,358.4097648564748
336.5712366629764,329.15660981190234,333.81590696629996,353.4486662170327
330.45987962239394,340.7141140725751,332.5731822608545,356.6208317624422
327.93848149332354,338.75966516343385,335.4093706969316,354.3492847281616
342.32824384460775,338.95515973521526,346.57329283336753,355.4849798249636
333.8711184975673,330.4530627260263,325.66367403704123,357.97578512718457
335.33764102343963,342.0139715546805,338.4313009518726,350.90889658383264
327.8762590689327,327.9907446860386,326.93642064405174,365.4619363784273
332.2780863773741,337.93428546900134,332.64034067105285,349.9699130925015
335.55461294854933,345.9522781290499,340.44475298483684,348.92905693606133
329.2450321128885,330.04731837434656,335.3214000954773,360.79055436750036
336.87849009172834,332.1685113519861,329.61127611035346,358.9583134698147
331.99680655040595,335.4982568254382,331.42348145370016,358.1205990852608
333.54153125103363,332.482621729419,338.3979887446734,358.1417275463214
