"Diameter","Tensile str","Glide"
0.2733666666666666,0.09116666666666662,0.0647000000000002
-0.5266333333333333,-0.12550000000000017,-0.5486333333333331
0.24003333333333338,0.24450000000000038,0.281366666666667
-0.2599666666666667,-0.018833333333333258,0.4080333333333339
-0.09329999999999998,-0.07883333333333375,-0.26529999999999987
0.6067,0.34783333333333344,0.17469999999999963
-0.026633333333333325,0.1778333333333335,0.31136666666666724
-1.2933000000000001,-0.47216666666666685,-0.3552999999999997
-0.2933,-0.038833333333333275,-0.131966666666667
0.44003333333333333,0.12783333333333324,0.20803333333333285
-0.0933,-0.025499999999999634,0.31803333333333406
-0.8933,-0.6988333333333334,-0.7186333333333339
0.2733666666666666,-0.14550000000000018,0.06136666666666635
0.6400333333333335,0.10449999999999982,-0.12196666666666633
-0.5266333333333333,-0.0621666666666667,-0.08196666666666719
0.040033333333333324,-0.002166666666667094,-0.048633333333333084
0.40669999999999995,0.1011666666666673,0.6147000000000009
1.1400333333333335,0.3511666666666673,0.21803333333333352
-0.02663333333333329,-0.11549999999999994,-0.6553000000000004
-0.026633333333333332,0.23783333333333312,0.26803333333333423
